date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:28:41	293/293	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2021%20Sep%202018%2011:28:41%20GMT	http://localhost/robots.txt		(from )
14:28:43	21724/21724	---MC-	200	added ('OK')	text/html	date:Fri,%2021%20Sep%202018%2011:28:41%20GMT	http://localhost/about%20me/	C:/My%20Web%20Sites/dorry/localhost/about%20me/index.html	(from )
14:28:43	437322/437322	---M--	200	added ('OK')	text/css	etag:%226ac4a-5647647f96b00%22	http://localhost/about%20me/wp-content/plugins/mega-addons-for-visual-composer/css/ihover.css?ver=4.9.8	C:/My%20Web%20Sites/dorry/localhost/about%20me/wp-content/plugins/mega-addons-for-visual-composer/css/ihover5010.css	(from http://localhost/about%20me/)
14:28:44	1285/1285	---M--	200	added ('OK')	text/css	etag:%22505-5647647f96b00%22	http://localhost/about%20me/wp-content/plugins/mega-addons-for-visual-composer/css/style.css?ver=4.9.8	C:/My%20Web%20Sites/dorry/localhost/about%20me/wp-content/plugins/mega-addons-for-visual-composer/css/style5010.css	(from http://localhost/about%20me/)
14:28:44	37414/37414	---M--	200	added ('OK')	text/css	etag:%229226-5647647f96b00%22	http://localhost/about%20me/wp-content/plugins/mega-addons-for-visual-composer/css/font-awesome/css/font-awesome.css?ver=4.9.8	C:/My%20Web%20Sites/dorry/localhost/about%20me/wp-content/plugins/mega-addons-for-visual-composer/css/font-awesome/css/font-awesome5010.css	(from http://localhost/about%20me/)
14:28:46	7802/7802	---M--	200	added ('OK')	text/css	etag:%221e7a-50db28ba8f980%22	http://localhost/about%20me/wp-content/themes/enfold/css/grid.css?ver=2	C:/My%20Web%20Sites/dorry/localhost/about%20me/wp-content/themes/enfold/css/grid77ae.css	(from http://localhost/about%20me/)
14:28:46	850/850	---M--	200	added ('OK')	application/rss+xml	etag:%2214ce6c079055a3e5de0e4825b2c2322f%22	http://localhost/about%20me/index.php/feed/	C:/My%20Web%20Sites/dorry/localhost/about%20me/index.php/feed/index.html	(from http://localhost/about%20me/)
14:28:46	741/741	---M--	200	added ('OK')	application/rss+xml	etag:%220dbb4bbe94190c67954f8262ef9efc56%22	http://localhost/about%20me/index.php/comments/feed/	C:/My%20Web%20Sites/dorry/localhost/about%20me/index.php/comments/feed/index.html	(from http://localhost/about%20me/)
14:28:46	13518/13518	---M--	200	added ('OK')	text/css	etag:%2234ce-50db28b6bf080%22	http://localhost/about%20me/wp-content/themes/enfold/css/base.css?ver=2	C:/My%20Web%20Sites/dorry/localhost/about%20me/wp-content/themes/enfold/css/base77ae.css	(from http://localhost/about%20me/)
14:28:47	88365/88365	---M--	200	added ('OK')	text/css	etag:%221592d-50d8517489f00%22	http://localhost/about%20me/wp-content/themes/enfold/css/layout.css?ver=2	C:/My%20Web%20Sites/dorry/localhost/about%20me/wp-content/themes/enfold/css/layout77ae.css	(from http://localhost/about%20me/)
14:28:48	159338/159338	---M--	200	added ('OK')	text/css	etag:%2226e6a-50d85172a1a80%22	http://localhost/about%20me/wp-content/themes/enfold/css/shortcodes.css?ver=2	C:/My%20Web%20Sites/dorry/localhost/about%20me/wp-content/themes/enfold/css/shortcodes77ae.css	(from http://localhost/about%20me/)
14:28:50	48637/48637	---M--	200	added ('OK')	image/png	etag:%22bdfd-5762055c1511b%22	http://localhost/about%20me/wp-content/uploads/2018/09/untitled.png	C:/My%20Web%20Sites/dorry/localhost/about%20me/wp-content/uploads/2018/09/untitled.png	(from http://localhost/about%20me/)
14:28:50	7640/7640	---M--	200	added ('OK')	text/css	etag:%221dd8-4fd0e12b40600%22	http://localhost/about%20me/wp-content/themes/enfold/js/aviapopup/magnific-popup.css?ver=1	C:/My%20Web%20Sites/dorry/localhost/about%20me/wp-content/themes/enfold/js/aviapopup/magnific-popup68b3.css	(from http://localhost/about%20me/)
14:28:50	18247/18247	---M--	200	added ('OK')	text/css	etag:%224747-50cbd0db6f680%22	http://localhost/about%20me/wp-content/themes/enfold/js/mediaelement/skin-1/mediaelementplayer.css?ver=1	C:/My%20Web%20Sites/dorry/localhost/about%20me/wp-content/themes/enfold/js/mediaelement/skin-1/mediaelementplayer68b3.css	(from http://localhost/about%20me/)
14:28:51	4858/4858	---M--	200	added ('OK')	text/css	etag:%2212fa-4f9eaf4f1e680%22	http://localhost/about%20me/wp-content/themes/enfold/css/print.css?ver=1	C:/My%20Web%20Sites/dorry/localhost/about%20me/wp-content/themes/enfold/css/print68b3.css	(from http://localhost/about%20me/)
14:28:51	136097/136097	---M--	200	added ('OK')	text/css	etag:%22213a1-5764b93908440%22	http://localhost/about%20me/wp-content/uploads/dynamic_avia/enfold_share_on_themelot.net.css?ver=5ba3803ddfaff	C:/My%20Web%20Sites/dorry/localhost/about%20me/wp-content/uploads/dynamic_avia/enfold_share_on_themelot.netb45c.css	(from http://localhost/about%20me/)
14:28:52	707/707	---M--	200	added ('OK')	text/css	etag:%222c3-4f894dda0e500%22	http://localhost/about%20me/wp-content/themes/enfold/css/custom.css?ver=2	C:/My%20Web%20Sites/dorry/localhost/about%20me/wp-content/themes/enfold/css/custom77ae.css	(from http://localhost/about%20me/)
14:28:53	301/301	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2021%20Sep%202018%2011:28:53%20GMT	http://localhost/about%20me/wp-content/plugins/mega-addons-for-visual-composer/js/script.js?ver=4.9.8	C:/My%20Web%20Sites/dorry/localhost/about%20me/wp-content/plugins/mega-addons-for-visual-composer/js/script.105010.delayed	(from http://localhost/about%20me/)
14:28:54	10056/10056	---M--	200	added ('OK')	application/javascript	etag:%222748-5334857d82c00%22	http://localhost/about%20me/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/My%20Web%20Sites/dorry/localhost/about%20me/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://localhost/about%20me/)
14:28:54	4000/4000	---M--	200	added ('OK')	application/javascript	etag:%22fa0-5406760d60080%22	http://localhost/about%20me/wp-includes/js/jquery/ui/core.min.js?ver=1.11.4	C:/My%20Web%20Sites/dorry/localhost/about%20me/wp-includes/js/jquery/ui/core.mine899.js	(from http://localhost/about%20me/)
14:28:54	1105/1105	---M--	200	added ('OK')	application/javascript	etag:%22451-505f226e01f00%22	http://localhost/about%20me/wp-content/themes/enfold/js/avia-compat.js?ver=2	C:/My%20Web%20Sites/dorry/localhost/about%20me/wp-content/themes/enfold/js/avia-compat77ae.js	(from http://localhost/about%20me/)
